Year,FOUR WHEELER (INVALID CARRIAGE),HEAVY GOODS VEHICLE,HEAVY MOTOR VEHICLE,HEAVY PASSENGER VEHICLE,LIGHT GOODS VEHICLE,LIGHT MOTOR VEHICLE,LIGHT PASSENGER VEHICLE,MEDIUM GOODS VEHICLE,MEDIUM PASSENGER VEHICLE,MEDIUM MOTOR VEHICLE,OTHER THAN MENTIONED ABOVE,THREE WHEELER(NT),TWO WHEELER (INVALID CARRIAGE),THREE WHEELER(T),TWO WHEELER(NT),TWO WHEELER(T)
2001,0,1,0,0,9,15,1,0,0,0,2,0,0,2,62,0
2002,0,2,1,0,266,11,5,0,0,0,0,0,0,2,11,0
2003,0,1,2,0,35,15,1,0,0,0,1,0,0,9,18,0
2004,0,2,0,1,14,17,1,0,0,1,2,0,0,1,21,0
2005,0,0,0,0,10,14,1,0,0,0,0,0,0,1,38,0
2006,0,1,0,0,9,15,1,0,0,0,2,0,0,2,62,0
2007,0,3,3,0,7,20,0,0,0,0,0,0,0,2,119,0
2008,0,0,2,0,6,40,3,0,0,0,2,0,0,2,518,0
2009,0,0,0,0,2,41,0,0,0,0,1,0,0,1,965,0
2010,0,0,0,0,7,17,0,0,0,0,0,0,0,4,357,0
2011,0,1,0,0,48,70,0,0,0,0,0,0,0,1,317,0
2012,0,2,0,0,8,87,5,0,0,0,0,0,0,1,560,0
2013,0,3,1,0,5,27,1,0,0,0,0,0,0,2,209,0
2014,0,0,0,0,6,46,1,0,0,0,1,0,0,2,175,0
2015,0,0,0,0,5,76,0,0,0,0,0,0,0,2,93,0
2016,1,1,0,1,4,86,7,0,0,0,15,0,0,1712,117,0
2017,0,0,0,0,10,72,21,0,0,0,16,0,0,4351,108,0
2018,0,0,0,0,112,69,27,1,0,0,47,13,0,8559,176,0
2019,0,0,0,5,11,64,9,0,0,0,10,1,24,10532,2514,208
2020,0,0,0,2,1,84,204,0,7,0,58,7,1,13550,2218,723
2021,0,0,0,15,0,579,73,0,24,0,74,11,0,10927,4967,360
2022,1,0,0,126,15,1360,202,0,2,0,79,36,0,19526,29511,631
2023,1,0,0,138,33,2971,472,0,1,0,171,26,2,34368,64561,141
2024,7,21,0,543,397,7024,1453,0,6,0,0,10,1,53451,82093,41
2001,0,0,0,0,7,28,0,0,0,0,0,0,0,2,65,0
2002,0,0,1,0,324,6,11,0,0,0,0,0,0,0,16,0
2003,0,1,0,0,52,28,4,0,0,0,0,0,0,1,10,0
2004,0,0,0,0,10,4,0,0,0,0,0,0,0,1,11,0
2005,0,0,0,0,8,13,1,0,0,0,0,0,0,3,50,0
2006,0,0,0,0,7,28,0,0,0,0,0,0,0,2,65,0
2007,0,0,4,0,4,38,1,1,0,0,1,0,0,7,117,0
2008,0,0,0,0,7,83,1,0,0,0,2,0,0,1,671,0
2009,0,0,1,0,4,43,0,0,0,0,1,0,0,5,831,0
2010,0,2,0,0,1,16,2,0,0,0,0,1,0,10,342,0
2011,0,2,3,0,44,164,5,0,0,0,3,0,1,6,889,0
2012,0,2,1,0,8,67,1,0,0,0,2,0,0,5,635,0
2013,0,0,0,0,9,21,1,0,0,0,0,0,0,4,201,0
2014,0,3,0,1,11,28,0,0,0,0,0,0,0,0,130,0
2015,0,2,0,0,5,62,1,0,0,0,1,0,0,3,109,0
2016,1,1,0,0,14,61,1,0,0,0,15,0,0,2287,119,0
2017,0,0,0,0,37,54,21,0,0,0,18,0,0,4203,75,0
2018,0,0,0,11,69,117,73,0,0,0,42,2,0,6902,156,0
2019,0,0,0,25,2,157,71,0,18,0,47,2,1,8784,3029,95
2020,0,0,0,19,2,105,387,0,0,0,79,16,0,13610,2164,190
2021,0,0,0,133,8,586,31,0,53,0,113,24,0,12535,6449,135
2022,1,0,0,133,15,2308,144,0,0,0,95,26,0,19608,35132,635
2023,1,0,0,111,81,4366,395,0,11,0,76,32,4,36053,65950,142
2024,3,28,0,341,489,6845,668,0,4,0,0,13,0,50622,82576,151
2001,0,0,2,0,6,26,0,1,0,0,2,1,0,1,75,0
2002,0,1,0,0,881,23,8,1,0,0,0,0,0,1,6,0
2003,0,0,2,0,85,42,0,0,0,0,1,0,0,1,17,0
2004,0,0,0,0,11,20,1,0,0,0,0,0,0,6,21,0
2005,0,1,0,0,13,16,2,0,0,0,1,0,0,2,54,0
2006,0,0,2,0,6,26,0,1,0,0,2,1,0,1,75,0
2007,0,0,3,1,6,46,6,0,0,0,0,0,0,3,166,0
2008,0,4,1,2,3,33,2,2,0,0,1,0,0,3,605,0
2009,0,0,1,0,5,48,0,1,0,1,0,1,0,3,660,0
2010,0,3,0,0,7,32,1,0,0,0,0,0,0,1,398,0
2011,0,1,0,0,44,76,5,0,0,0,2,0,0,4,373,0
2012,0,7,0,0,7,111,7,0,0,0,1,1,0,1,627,0
2013,0,0,1,0,12,30,4,0,0,0,0,0,0,3,168,0
2014,0,0,0,0,17,40,9,0,0,0,0,0,0,2,151,0
2015,0,0,0,0,5,72,0,0,0,0,0,0,0,1,144,0
2016,0,0,0,0,0,56,26,0,0,1,28,1,0,4273,134,0
2017,0,1,0,0,203,80,57,0,0,0,19,0,0,5498,132,0
2018,0,0,0,6,80,93,10,0,4,0,35,9,0,6997,461,0
2019,0,0,0,4,1,162,79,0,1,0,40,5,2,8993,5361,510
2020,0,0,0,5,3,238,187,0,2,0,40,13,0,10695,2846,37
2021,0,0,0,42,17,799,87,0,53,0,190,12,2,14936,11434,536
2022,0,0,2,77,30,3656,67,0,1,0,213,52,0,24579,54269,155
2023,3,183,1,85,72,7157,1676,0,13,1,11,45,9,45305,86325,34
2024,10,44,0,468,1645,7609,1787,0,4,0,0,44,1,60618,137113,470
2001,0,0,0,0,12,20,2,0,0,0,0,0,0,1,59,0
2002,0,3,0,0,110,9,8,1,0,0,0,0,0,1,16,0
2003,0,0,0,0,43,22,2,0,2,0,0,0,0,0,14,0
2004,0,1,0,0,10,30,0,0,0,0,0,1,0,2,18,0
2005,0,1,1,2,5,9,1,0,0,0,5,0,0,4,60,0
2006,0,0,0,0,12,20,2,0,0,0,0,0,0,1,59,0
2007,0,0,3,0,7,26,1,0,0,0,2,0,0,11,126,0
2008,0,1,0,0,4,28,1,0,0,0,0,0,0,2,723,0
